QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",Comprehension,"use tom duncan' level of brand relationship intensity, explain the relationship between appl iphon and it customers.",Apply,Evaluate,Understand
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,Comprehension,you are the new onlin advertis consult for loreal malaysia. explain to your client seven (7) import paid medium metric in onlin advertising.,Understand,Evaluate,Understand
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,Comprehension,“millenni and kid are import market segment for e-marketers”. discu on the abov statement.,Understand,Understand,Understand
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,Analysis,briefli analys the six (6) intern control procedur over the payrol process of a multin organisation.,Analyze,Analyze,Analyze
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",Comprehension,"with respect to the data process cycl of an organisation, explain the ""garbag in, garbag out"". briefli discu on the measur to be taken by the compani to avoid “garbag in"" data input errors.",Understand,Understand,Understand
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,Comprehension,name and briefli discu the eight (8) document use in the purchas and cash disburs process of a company.,Understand,Apply,Understand
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,Comprehension,briefli explain ani two (2) advantag of real time data process in the sale and cash receipt system.,Understand,Evaluate,Understand
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,Analysis,describ the three (3) element of problem structur of a company. contrast a structur problem to an unstructur problem. discu briefli which level of manag typic deal with structur problem and with unstructur problems.,Understand,Understand,Understand
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,Comprehension,briefli discu the key segreg of duti that should exist in the tradit manufactur environment.,Understand,Understand,Understand
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",Analysis,"by draw appropri diagrams, differenti between flat file model and databas model.",Analyze,Remember,Analyze
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company. ,Comprehension,briefli explain the six (6) key activ involv in the convers cycl of a manufactur company.,Understand,Evaluate,Understand
Differentiate between general controls and application controls. Provide ONE (1) example for each. ,Analysis,differenti between gener control and applic controls. provid one (1) exampl for each.,Understand,Understand,Analyze
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,Comprehension,briefli explain financi report system (frs) and identifi three (3) potenti risk in frs.,Understand,Evaluate,Understand
Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,Comprehension,cost benefit analysi is a process that help manag determin whether (and by how much) the benefit exceed costs. briefli explain four (4) intang benefits.,Evaluate,Evaluate,Evaluate
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,Comprehension,discu the advantag of real-tim data input and over batch process in expenditur cycle.,Understand,Understand,Understand
Define Information Systems (IS). ,Knowledge,defin inform system (is).,Remember,Remember,Remember
Discuss in details what Accounting Information Systems (AIS) is. ,Comprehension,discu in detail what account inform system (ais) is.,Understand,Understand,Understand
State TWO (2) subsystems of AIS. ,Knowledge,state two (2) subsystem of ais.,Remember,Remember,Remember
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,Comprehension,state your opinion on whether financi report system is more import than manag report system and the appropri of place more emphasi on produc non-discretionari financi reports. provid argument to support.,Apply,Remember,Apply
Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,Comprehension,discu ani four (4) underli principl of lean manufactur approach.,Understand,Understand,Understand
Explain on the advantages of switching from a flat-file processing system to a database management system. ,Comprehension,explain on the advantag of switch from a flat-fil process system to a databas manag system.,Evaluate,Evaluate,Evaluate
Discuss THREE (3) types of anomalies associated with database tables that have not been normalized. ,Comprehension,discu three (3) type of anomali associ with databas tabl that have not been normalized.,Understand,Understand,Understand
Briefly explain any TWO (2) security objectives of audit trails. ,Comprehension,briefli explain ani two (2) secur object of audit trails.,Understand,Evaluate,Understand
Define and contrast digital certificate and digital signature. ,Comprehension,defin and contrast digit certif and digit signature.,Analyze,Remember,Analyze
Explain how transactions are audited in an electronic data interchange environment. ,Comprehension,explain how transact are audit in an electron data interchang environment.,Understand,Evaluate,Understand
List any THREE (3) pairs of system functions that should be separated in the centralized computer services organization and describe a risk exposure if the functions are not separated. ,Comprehension,list ani three (3) pair of system function that should be separ in the central comput servic organ and describ a risk exposur if the function are not separated.,Apply,Analyze,Analyze
Identify and explain another graphical diagram besides network diagram which is useful for planning and scheduling. Evaluate the graphical diagram. ,Evaluation,identifi and explain anoth graphic diagram besid network diagram which is use for plan and scheduling. evalu the graphic diagram.,Analyze,Analyze,Analyze
List out FOUR (4) benefits of using RFID.,Knowledge,list out four (4) benefit of use rfid.,Apply,Apply,Apply
Suggest any FIVE (5) dimensions of service quality that could be taken into consideration by the kindergarten management for its future operations improvement. ,Synthesis,suggest ani five (5) dimens of servic qualiti that could be taken into consider by the kindergarten manag for it futur oper improvement.,Apply,Apply,Apply
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,Knowledge,identifi ani two (2) advantag of match demand strategi and level strategi each in prepar aggreg product plan.,Apply,Evaluate,Apply
List out any SIX (6) factors to be considered when designing a layout. ,Knowledge,list out ani six (6) factor to be consid when design a layout.,Analyze,Create,Analyze
Examine cross-docking warehouse layout. ,Analysis,examin cross-dock warehous layout.,Analyze,Analyze,Analyze
Discuss any FOUR (4) elements which are embedded in Total Quality Management Programme. ,Comprehension,discu ani four (4) element which are embed in total qualiti manag programme.,Understand,Evaluate,Understand
Examine traditional warehouse layout and cross-docking layout. ,Analysis,examin tradit warehous layout and cross-dock layout.,Analyze,Analyze,Analyze
Explain FOUR (4) process strategies you have learned. ,Comprehension,explain four (4) process strategi you have learned.,Understand,Evaluate,Understand
Discuss the importance of Philip Crosby's suggestion on “do it right the first time” by manufacturing company. ,Comprehension,discu the import of philip crosby' suggest on “do it right the first time” by manufactur company.,Understand,Understand,Understand
Explain any FOUR (4) product design strategies that could help company to reduce cost. ,Comprehension,explain ani four (4) product design strategi that could help compani to reduc cost.,Understand,Evaluate,Understand
Compare product layout and process layout. ,Analysis,compar product layout and process layout.,Analyze,Understand,Analyze
Explain FOUR (4) types of process design that could be found in manufacturing companies. ,Comprehension,explain four (4) type of process design that could be found in manufactur companies.,Understand,Evaluate,Understand
"“Goods and services design could help manufacturers to gain competitive advantages."" Justify the statement with any THREE (3) strategies. ",Evaluation,"“good and servic design could help manufactur to gain competit advantages."" justifi the statement with ani three (3) strategies.",Create,Create,Create
ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,Comprehension,abc inventori analysi is one of the method use by manufactur compani for effect inventori management. explain your answer.,Analyze,Analyze,Analyze
Compare matching demand and level aggregate production planning. ,Analysis,compar match demand and level aggreg product planning.,Analyze,Understand,Analyze
Briefly explain FOUR (4) manufacturing layout you have learned.,Comprehension,briefli explain four (4) manufactur layout you have learned.,Understand,Evaluate,Understand
Discuss TWO (2) common methods of managing inventory adopted by manufacturing and retailing companies. ,Comprehension,discu two (2) common method of manag inventori adopt by manufactur and retail companies.,Analyze,Analyze,Analyze
Identify any TWO (2) product design strategies you have learned. Explain how both strategies could be useful for instant respond to customer demand. ,Comprehension,identifi ani two (2) product design strategi you have learned. explain how both strategi could be use for instant respond to custom demand.,Apply,Create,Understand
Suggest FOUR (4) ways logistics service provider such as FedEx practices environmental friendly principles in its operation. ,Synthesis,suggest four (4) way logist servic provid such a fedex practic environment friendli principl in it operation.,Apply,Apply,Apply
The key success of Arnold Palmer Hospital is its implementation of Total Quality Management (TQM) Programme. Describe FIVE (5) principles of TQM Programme which have been adopted by the aforesaid hospital. ,Comprehension,the key success of arnold palmer hospit is it implement of total qualiti manag (tqm) programme. describ five (5) principl of tqm programm which have been adopt by the aforesaid hospital.,Apply,Apply,Apply
Explain any FOUR (4) product design strategies you have learned. Evaluate the importance of each strategy. ,Comprehension,explain ani four (4) product design strategi you have learned. evalu the import of each strategy.,Understand,Evaluate,Understand
Discuss what world-class producers do in regards to product or service design and process design. ,Comprehension,discu what world-class produc do in regard to product or servic design and process design.,Understand,Create,Create
Identify FIVE (5) strategies to make hypermarket retail layout to be more attractive in responding to customers' various shopping behaviors.,Comprehension,identifi five (5) strategi to make hypermarket retail layout to be more attract in respond to customers' variou shop behaviors.,Create,Create,Create
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,Knowledge,list out five (5) way how manufactur and servic compani have commit toward the environment friendli practices.,Analyze,Analyze,Analyze
Identify SIX (6) factors to be considered when designing layout. ,Knowledge,identifi six (6) factor to be consid when design layout.,Create,Create,Create
“Technology has aided manufacturing and service companies in inventory management.' Justify the statement. ,Evaluation,“technolog ha aid manufactur and servic compani in inventori management.' justifi the statement.,Analyze,Analyze,Analyze
State FOUR (4) reasons why level strategy is attractive to some companies in preparing aggregate production plan. ,Comprehension,state four (4) reason whi level strategi is attract to some compani in prepar aggreg product plan.,Apply,Remember,Analyze
Explain the purpose of human communication process. ,Comprehension,explain the purpos of human commun process.,Understand,Evaluate,Understand
Label the human communication process diagram below.,Knowledge,label the human commun process diagram below.,Analyze,Remember,Analyze
Explain the process of consumer perception and provide ONE (1) example to support your explanation. ,Comprehension,explain the process of consum percept and provid one (1) exampl to support your explanation.,Understand,Understand,Understand
List FIVE (5) weaknesses of Out-of-Home (OOH) Advertising. ,Knowledge,list five (5) weak of out-of-hom (ooh) advertising.,Analyze,Analyze,Analyze
Explain the reasons of using a mixed-media approach by advertisers. ,Comprehension,explain the reason of use a mixed-media approach by advertisers.,Apply,Evaluate,Understand
"Marketers theorize that just as humans pass through stages in life from infancy to old age, products also pass through a product life cycle. Explain all FOUR (4) stages of a product life cycle. ",Comprehension,"market theoriz that just a human pa through stage in life from infanc to old age, product also pa through a product life cycle. explain all four (4) stage of a product life cycle.",Understand,Evaluate,Understand
Explain briefly the effectiveness of advertising based on strategy concept. ,Comprehension,explain briefli the effect of advertis base on strategi concept.,Understand,Evaluate,Understand
"Describe the effectiveness of advertising value of products, price, competition, consumer and business.",Comprehension,"describ the effect of advertis valu of products, price, competition, consum and business.",Understand,Remember,Understand
Explain FIVE (5) advantages of out-of-home (OOH) advertising.,Comprehension,explain five (5) advantag of out-of-hom (ooh) advertising.,Understand,Understand,Understand
Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,Comprehension,explain five (5) disadvantag of out-of-hom (ooh) advertising.,Understand,Understand,Understand
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,Comprehension,explain four (4) benefit of use digital-out-of-hom in advertising.,Apply,Evaluate,Analyze
List TWO (2) advantages and TWO (2) disadvantages of printed newspaper advertising.,Knowledge,list two (2) advantag and two (2) disadvantag of print newspap advertising.,Analyze,Analyze,Analyze
Explain the psychological factors which influence consumer behavior. ,Comprehension,explain the psycholog factor which influenc consum behavior.,Understand,Evaluate,Understand
Discuss the negative effects of advertising on children. ,Comprehension,discu the neg effect of advertis on children.,Understand,Understand,Understand
Identify FIVE (5) key players in advertising. ,Knowledge,identifi five (5) key player in advertising.,Analyze,Analyze,Analyze
List SEVEN (7) types of advertising. ,Knowledge,list seven (7) type of advertising.,Analyze,Analyze,Analyze
Identify FOUR (4) factors that influence consumer behaviour. ,Knowledge,identifi four (4) factor that influenc consum behaviour.,Analyze,Analyze,Analyze
List FIVE (5) basic types of research.,Knowledge,list five (5) basic type of research.,Analyze,Analyze,Analyze
Describe the SEVEN (7) advantages of radio advertising. ,Knowledge,describ the seven (7) advantag of radio advertising.,Understand,Remember,Understand
NIKE will be conducting consumer research on their footwear. Assess FIVE (5) types of consumer research that Nike can implement by providing an appropriate example for each. ,Evaluation,nike will be conduct consum research on their footwear. assess five (5) type of consum research that nike can implement by provid an appropri exampl for each.,Apply,Evaluate,Apply
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",Analysis,"maslow' hierarchi of need wa develop by abraham maslow, a specialist in human behaviour psychology. the hierarchi wa first develop to help explain the connect between basic human need and human desires. distinguish the hierarchi with appropri example.",Understand,Understand,Understand
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",Synthesis,"komugi offer a delici authent varieti of handmad japanes breads, cake and confectioneries. in 23th decemb 2017, komugi will launch it first outlet in perak which will be locat in jusco kinta city, ipoh. your client komugi would like to run a coupon promot for perakian. design a creativ coupon with catchi messages, slogan and offer to attract the perakian.",Understand,Create,Understand
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",Synthesis,"subway brand is the world' largest submarin sandwich chain with more than 44,000 locat around the world. thi november, subway is introduc two new combo a in the imag provid below. propos a rough layout of a poster to promot these new combos.",Understand,Create,Understand
Define FOUR (4) primary roles of advertising in business and society. ,Knowledge,defin four (4) primari role of advertis in busi and society.,Remember,Remember,Analyze
Define briefly the role of marketing in advertising effectiveness. ,Knowledge,defin briefli the role of market in advertis effectiveness.,Remember,Remember,Analyze
Explain briefly the media usage in advertising effectiveness. ,Comprehension,explain briefli the medium usag in advertis effectiveness.,Understand,Evaluate,Understand
Describe FIVE (5) key players in advertising. ,Knowledge,describ five (5) key player in advertising.,Understand,Remember,Understand
Explain 4P's of marketing. ,Comprehension,explain 4p' of marketing.,Understand,Evaluate,Understand
Describe consumer behaviour. ,Knowledge,describ consum behaviour.,Understand,Remember,Understand
Explain in detail the Maslow Hierarchy of Needs. ,Comprehension,explain in detail the maslow hierarchi of needs.,Understand,Evaluate,Understand
Draw a comprehensive poster layout design for Visit Malaysia 2020 campaign. Provide a design rationale to support your idea. ,Comprehension,draw a comprehens poster layout design for visit malaysia 2020 campaign. provid a design rational to support your idea.,Create,Create,Create
Propose ONE (1) new local flavor Kit Kat for Malaysian consumers. Describe the need for the new flavor among the Malaysian consumer. ,Synthesis,propos one (1) new local flavor kit kat for malaysian consumers. describ the need for the new flavor among the malaysian consumer.,Understand,Create,Understand
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,Synthesis,propos one (1) new local seafood flavor for manhattan fish market' malaysian consumers. describ the need for the new flavor.,Understand,Create,Understand
Define Chiaroscuro and Sfumato technique.,Knowledge,defin chiaroscuro and sfumato technique.,Remember,Remember,Remember
Explain TWO (2) components of art. ,Comprehension,explain two (2) compon of art.,Understand,Evaluate,Understand
Describe the Pop Art style in 1958 - 1972.,Knowledge,describ the pop art style in 1958 - 1972.,Understand,Remember,Understand
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,Comprehension,sketch one (1) organ object in one layout to show harmoni in shape and color.,Apply,Apply,Apply
Sketch ONE (1) movement to show repetition in shape and color. ,Comprehension,sketch one (1) movement to show repetit in shape and color.,Apply,Apply,Apply
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",Evaluation,"refer to the advertis design below, evalu the usag of domin and uniti in principl of design.",Create,Create,Create
Define 2 dimensional and 3 dimensional designs. ,Knowledge,defin 2 dimension and 3 dimension designs.,Remember,Remember,Remember
Describe FIVE (5) categories of space.,Knowledge,describ five (5) categori of space.,Understand,Remember,Understand
Describe Renaissance art style. ,Knowledge,describ renaiss art style.,Understand,Remember,Understand
Draw ONE (1) point perspective with TWO (2) geometrical forms.,Comprehension,draw one (1) point perspect with two (2) geometr forms.,Analyze,Remember,Analyze
Draw a color wheel diagram with primary and secondary color. ,Comprehension,draw a color wheel diagram with primari and secondari color.,Analyze,Remember,Analyze
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Comprehension,"refer to the given poster design, explain in detail the usag of element and principl of arts.",Understand,Evaluate,Understand
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,Comprehension,defin symmetr balanc and asymmetr balance. draw an exampl for each.,Remember,Remember,Remember
Write FIVE (5) types of lines. ,Knowledge,write five (5) type of lines.,Create,Create,Create
List down FIVE (5) types of shapes. ,Knowledge,list down five (5) type of shapes.,Analyze,Analyze,Analyze
Describe Impressionism art style. ,Knowledge,describ impression art style.,Understand,Remember,Understand
Write THREE (3) categories of color. ,Knowledge,write three (3) categori of color.,Create,Create,Create
Define color temperature. ,Knowledge,defin color temperature.,Remember,Remember,Remember
Describe FIVE (5) techniques to achieve dominance. ,Knowledge,describ five (5) techniqu to achiev dominance.,Understand,Remember,Understand
Draw similar repetition and interval repetition. ,Comprehension,draw similar repetit and interv repetition.,Remember,Remember,Remember
Draw TWO (2) point perspectives with TWO (2) geometrical forms.,Comprehension,draw two (2) point perspect with two (2) geometr forms.,Analyze,Remember,Analyze
Describe color wheel. ,Knowledge,describ color wheel.,Understand,Remember,Understand
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Comprehension,"refer to the given poster design, explain in detail the usag of element and principl of arts.",Understand,Evaluate,Understand
Explain briefly 'designer' and 'professional designer'.,Comprehension,explain briefli 'designer' and 'profession designer'.,Understand,Evaluate,Understand
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",Comprehension,"defin graphic design, product design and environment design. provid one (1) exampl for each.",Create,Create,Create
Explain creative brief. ,Comprehension,explain creativ brief.,Understand,Evaluate,Understand
Write down the FIVE (5) phases of the design process. ,Knowledge,write down the five (5) phase of the design process.,Create,Create,Analyze
Explain briefly the design development process.,Comprehension,explain briefli the design develop process.,Understand,Understand,Understand
Explain the conceptual design process. ,Comprehension,explain the conceptu design process.,Understand,Evaluate,Understand
Define problem solving processes.,Knowledge,defin problem solv processes.,Analyze,Remember,Analyze
Write FOUR (4) purposes of poster. ,Knowledge,write four (4) purpos of poster.,Create,Create,Create
Identify FIVE (5) problem solving processes. ,Knowledge,identifi five (5) problem solv processes.,Analyze,Analyze,Analyze
Explain FIVE (5) phases of graphic design process. ,Comprehension,explain five (5) phase of graphic design process.,Understand,Evaluate,Understand
Draw ONE (1) self-contained format and ONE (1) free form format of logo design. ,Comprehension,draw one (1) self-contain format and one (1) free form format of logo design.,Remember,Remember,Analyze
Define graphic design and product design. ,Knowledge,defin graphic design and product design.,Create,Create,Create
Explain the importance of visual in a poster design. ,Comprehension,explain the import of visual in a poster design.,Understand,Evaluate,Understand
Draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature. ,Comprehension,draw an imag use light and shadow to describ form most close simul how we perceiv form in nature.,Apply,Apply,Apply
Draw a front and back for business card layout. ,Comprehension,draw a front and back for busi card layout.,Remember,Remember,Remember
Draw a Picture Window layout design. ,Comprehension,draw a pictur window layout design.,Remember,Remember,Analyze
Draw TWO (2) logo design for food and beverage products. ,Comprehension,draw two (2) logo design for food and beverag products.,Remember,Remember,Analyze
Describe graphic design and product design. ,Knowledge,describ graphic design and product design.,Understand,Create,Create
Explain the process of ideas generation. ,Comprehension,explain the process of idea generation.,Understand,Evaluate,Understand
Explain briefly FIVE (5) strategies for effective packaging design. ,Comprehension,explain briefli five (5) strategi for effect packag design.,Understand,Evaluate,Understand
Illustrate type driven layout design for a poster. ,Comprehension,illustr type driven layout design for a poster.,Understand,Create,Understand
Explain in details FIVE (5) ways to make a brand name effective.,Comprehension,explain in detail five (5) way to make a brand name effective.,Understand,Create,Understand
Write in details FIVE (5) phases of design process.,Comprehension,write in detail five (5) phase of design process.,Create,Create,Create
Describe the meaning of 'design'. ,Knowledge,describ the mean of 'design'.,Understand,Create,Understand
Define liberal art.,Knowledge,defin liber art.,Remember,Remember,Remember
Describe graphic design. ,Knowledge,describ graphic design.,Understand,Create,Understand
Define brainstorming process. ,Knowledge,defin brainstorm process.,Remember,Remember,Remember
Describe material gathering process. ,Knowledge,describ materi gather process.,Understand,Remember,Understand
Explain the meaning of creative brief.,Comprehension,explain the mean of creativ brief.,Understand,Evaluate,Understand
Draw ONE (1) organic shape and ONE (1) geometric shape. Apply tone and shading.,Application,draw one (1) organ shape and one (1) geometr shape. appli tone and shading.,Apply,Apply,Apply
Draw a poster layout design for Healthy Life Style. ,Comprehension,draw a poster layout design for healthi life style.,Remember,Remember,Analyze
The structural view of language has several components. List FIVE (5) components. ,Knowledge,the structur view of languag ha sever components. list five (5) components.,Analyze,Analyze,Analyze
"In about 70 words, explain how the different components function in language learning. ",Comprehension,"in about 70 words, explain how the differ compon function in languag learning.",Understand,Evaluate,Understand
Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,Knowledge,teacher-prepar materi are the best form of resourc for your english languag lesson. state five (5) factor that you would consid when prepar your resources.,Apply,Evaluate,Apply
Choose ONE (1) of the factors that you mentioned in question 2(a) and briefly explain why you consider this factor is important. ,Comprehension,choos one (1) of the factor that you mention in question 2(a) and briefli explain whi you consid thi factor is important.,Understand,Apply,Analyze
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,Knowledge,conduct a set-induct befor present ha sever advantages. list the five (5) reason for use of the set-induct in a lesson.,Apply,Analyze,Analyze
Distinguish between objectives and learning outcomes when planning a lesson. ,Analysis,distinguish between object and learn outcom when plan a lesson.,Analyze,Analyze,Analyze
There are several benefits for the statement of aims and learning outcomes in a lesson. Evaluate FIVE (5) benefits. ,Evaluation,there are sever benefit for the statement of aim and learn outcom in a lesson. evalu five (5) benefits.,Analyze,Analyze,Analyze
Discuss the role of skimming and scanning as pre-reading activities. ,Comprehension,discu the role of skim and scan a pre-read activities.,Understand,Understand,Understand
List and discuss briefly FIVE (5) learner-related factors when conducting an English lesson to a class of Form Two students. ,Comprehension,list and discu briefli five (5) learner-rel factor when conduct an english lesson to a class of form two students.,Understand,Understand,Understand
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",Comprehension,the pre-plan stage of a lesson take into consider sever factors. name five (5) extern factor and briefli explain the import of each of the factors.,Understand,Evaluate,Understand
Discuss FIVE (5) main differences between aims and learning outcomes. ,Comprehension,discu five (5) main differ between aim and learn outcomes.,Understand,Understand,Understand
"Write an appropriate learning outcome to teach “in”, “on”, beside', 'opposite and 'under. ",Comprehension,"write an appropri learn outcom to teach “in”, “on”, beside', 'opposit and 'under.",Create,Create,Create
List FIVE (5) activities that you would use in the set-induction stage of a reading lesson Keeping our rivers clean. ,Knowledge,list five (5) activ that you would use in the set-induct stage of a read lesson keep our river clean.,Apply,Apply,Apply
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson. ,Knowledge,choos one (1) activ and describ briefli how you plan to carri it out in your read lesson.,Apply,Apply,Analyze
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",Comprehension,there are sever factor that influenc languag teach and languag learning. name and briefli explain the five (5) extern factor that you would consid when teach english language.,Understand,Evaluate,Understand
"Skimming and scanning are useful ways to familiarise learners with the reading text. 
Evaluate the role of skimming and scanning in the teaching of reading.",Evaluation,skim and scan are use way to familiaris learner with the read text. evalu the role of skim and scan in the teach of reading.,Apply,Apply,Apply
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",Comprehension,"use the process approach in write composition, describ the activ you would carri out to write a composit entitl 'a visit to a zoo in a form 1 class.",Apply,Create,Analyze
Differentiate spoken and written language in FIVE (5) aspects. ,Analysis,differenti spoken and written languag in five (5) aspects.,Analyze,Analyze,Analyze
Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,Comprehension,illustr the stage of product approach of teach esl writing. use appropri examples.,Understand,Understand,Understand
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,Knowledge,list five (5) guidelin for spokesperson to follow dure the medium interview.,Apply,Apply,Apply
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,Comprehension,identifi five (5) point on how social medium can be util by the organ dure a crisis. elabor your answer with explan for each point.,Apply,Analyze,Analyze
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,Comprehension,discu four (4) tactic that can be use by a spokesperson to handl differ type of question from the media. provid your discuss with an appropri exampl for each tactic.,Understand,Understand,Analyze
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category. ,Comprehension,explain four (4) categori of unintent crisis. provid your answer with an appropri exampl for each category.,Understand,Understand,Understand
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,Comprehension,identifi four (4) statement should be avoid by spokesperson a the repres of an organ dure a press conference. elabor your answer with an exampl for each statement.,Understand,Understand,Understand
Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,Comprehension,identifi four (4) type of key public that mcdonald' malaysia ha to notifi about the crisis. explain your answer with appropri exampl for each of the publics.,Understand,Understand,Understand
Evaluate TWO (2) strategies that have been implemented by McDonald's Malaysia in handling the crisis. Provide a justification and an example to support your answer for each of the strategies. ,Evaluation,evalu two (2) strategi that have been implement by mcdonald' malaysia in handl the crisis. provid a justif and an exampl to support your answer for each of the strategies.,Apply,Apply,Apply
Predict FIVE (5) impacts of the crisis towards McDonald's Malaysia if they are not handling the crisis properly. ,Analysis,predict five (5) impact of the crisi toward mcdonald' malaysia if they are not handl the crisi properly.,Analyze,Analyze,Analyze
Explain FIVE (5) characteristics of social media. ,Comprehension,explain five (5) characterist of social media.,Understand,Evaluate,Understand
List FIVE (5) categories of Intentional Crises and FIVE (5) categories of Unintentional Crises. ,Knowledge,list five (5) categori of intent crisi and five (5) categori of unintent crises.,Analyze,Analyze,Analyze
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,Comprehension,identifi four (4) major crisi variabl in organ and analyz crisi evolut data. support your answer with explan and one (1) exampl for each variable.,Understand,Understand,Understand
Discuss FIVE (5) stages of crisis management. Provide your discussion with ONE (1) appropriate example for each stage. ,Comprehension,discu five (5) stage of crisi management. provid your discuss with one (1) appropri exampl for each stage.,Understand,Understand,Understand
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,Comprehension,identifi five (5) list give advic of how organ can cominun with the public dure the crisis. explain your answer with one (1) exampl for each advic given.,Understand,Understand,Understand
Explain FIVE (5) key components of organization crisis definition.,Comprehension,explain five (5) key compon of organ crisi definition.,Understand,Understand,Understand
List FIVE (5) types of trick questions.,Knowledge,list five (5) type of trick questions.,Analyze,Analyze,Analyze
Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step. ,Comprehension,discu the two (2) step of crisi manag perform (cmp) evalu process. provid an appropri exampl for each step.,Understand,Understand,Understand
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,Comprehension,identifi two (2) function of crisi commun that must be address when commun with intern stakehold dure a crisis. explain your answer with an exarnpl for each function.,Understand,Evaluate,Understand
Explain the FOUR (4) roles of media during a crisis. Support your explanation with an appropriate example for each role. ,Comprehension,explain the four (4) role of medium dure a crisis. support your explan with an appropri exampl for each role.,Evaluate,Understand,Understand
